t,S,Analytic,QNN$_7$,QNN$_4$,R-QNN$^{(2)}_4$,R-QNN$^{(3)}_4$
0.0,0.0,0.0,-0.0076937675,-0.336062,-0.066655114,-0.020416752
0.0,0.08893829905503058,8.428058147904935e-204,-0.021429062,-0.37243843,-0.076076224,-0.023495927
0.0,0.17787659811006115,1.4769312580580708e-160,-0.035197735,-0.40857702,-0.085497335,-0.026625171
0.0,0.2668148971650917,1.1311095006504567e-137,-0.04894972,-0.44447988,-0.094901755,-0.029787794
0.0,0.3557531962201223,1.6254586246278524e-122,-0.06267667,-0.48013657,-0.10428949,-0.03299214
0.0,0.4446914952751529,2.246139519593158e-111,-0.07642865,-0.5155596,-0.113668874,-0.036246553
0.0,0.5336297943301834,1.1327281989940673e-102,-0.090163946,-0.55074066,-0.123039916,-0.039534345
0.0,0.622568093385214,1.3545087748390615e-95,-0.10389924,-0.5856839,-0.13237758,-0.042872205
0.0,0.7115063924402446,1.1354008461465431e-89,-0.117634535,-0.6203851,-0.14172359,-0.046260133
0.0,0.8004446914952752,1.318347092910864e-84,-0.1313448,-0.6548527,-0.15103622,-0.04968144
0.0,0.8893829905503058,3.340075963611403e-80,-0.1450634,-0.6890783,-0.16035719,-0.05312778
0.0,0.9783212896053364,2.5360412412590054e-76,-0.15876532,-0.72306395,-0.16964479,-0.056632534
0.0,1.0672595886603669,7.262117476253696e-73,-0.17246723,-0.7568118,-0.17892404,-0.06017901
0.0,1.1561978877153976,9.310262255452641e-70,-0.18615246,-0.7903218,-0.18819495,-0.06375052
0.0,1.245136186770428,6.092633904481226e-67,-0.19982934,-0.82358986,-0.19744916,-0.0673721
0.0,1.3340744858254587,2.2545034095685486e-64,-0.21347284,-0.8566201,-0.20667835,-0.071043745
0.0,1.4230127848804892,5.117094078865788e-62,-0.22714972,-0.88941246,-0.21589084,-0.074723735
0.0,1.5119510839355197,7.607150385515675e-60,-0.24077654,-0.9219691,-0.22508664,-0.07847048
0.0,1.6008893829905504,7.815368540217242e-58,-0.25440335,-0.9542817,-0.2342741,-0.082242265
0.0,1.6898276820455809,5.800765497393857e-56,-0.26800513,-0.98635435,-0.24343653,-0.08605577
0.0,1.7787659811006116,3.2281092845699255e-54,-0.28159857,-1.0181934,-0.2525906,-0.089911
0.0,1.867704280155642,1.3897636663192976e-52,-0.29515862,-1.0497987,-0.26171964,-0.09380795
0.0,1.9566425792106727,4.753789901794802e-51,-0.30871868,-1.0811579,-0.27082366,-0.097729936
0.0,2.0455808782657035,1.3218211015636118e-49,-0.32226205,-1.1122835,-0.27993602,-0.10170199
0.0,2.1345191773207337,3.0472724040336655e-48,-0.33577204,-1.1431608,-0.28900665,-0.10569073
0.0,2.2234574763757644,5.9252236483377605e-47,-0.34927368,-1.1738086,-0.2980773,-0.10972954
