model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.005,15000,Tanh(),2,1,1958,mlp_n_2_b_1_seed_1958,0.00010200504766544327,1.9992988109588623,9,42.33322310447693,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1958.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1958.json,0.00013574209879152477,0.00013881283244700172
MLP,mlp,0.005,15000,Tanh(),2,1,1962,mlp_n_2_b_1_seed_1962,0.00010199164535151795,1.9990366697311401,9,15.124665260314941,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1962.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1962.json,0.00013451173435896635,0.0001377599775150884
MLP,mlp,0.005,15000,Tanh(),2,1,1970,mlp_n_2_b_1_seed_1970,0.00010182656842516735,1.9958007335662842,9,15.160766839981079,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1970.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1970.json,0.00013485531962942332,0.0001359112560749054
MLP,mlp,0.005,15000,Tanh(),2,1,1994,mlp_n_2_b_1_seed_1994,0.00010185792780248448,1.9964154958724976,9,15.189568042755127,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1994.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1994.json,0.0001343623735010624,0.00013728020072449
MLP,mlp,0.005,15000,Tanh(),2,1,2002,mlp_n_2_b_1_seed_2002,0.0001016328897094354,1.992004632949829,9,15.19959020614624,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_2002.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_2002.json,0.00013500246859621257,0.0001352614261850249
MLP,mlp,0.005,15000,Tanh(),2,1,1900,mlp_n_2_b_1_seed_1900,0.0003339055401738733,6.544548988342285,9,15.21120548248291,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1900.json,0.00039069121703505516,0.0003980294815846719
MLP,mlp,0.005,15000,Tanh(),2,1,1905,mlp_n_2_b_1_seed_1905,0.0002457961090840399,4.817604064941406,9,15.173983812332153,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1905.json,0.0003194475721102208,0.0003199637972284108
MLP,mlp,0.005,15000,Tanh(),2,1,1924,mlp_n_2_b_1_seed_1924,0.0002781636139843613,5.45200777053833,9,15.169894695281982,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1924.json,0.0003520528262015432,0.00036535022518364714
MLP,mlp,0.005,15000,Tanh(),2,1,1925,mlp_n_2_b_1_seed_1925,0.00023826953838579357,4.670083522796631,9,15.164414644241333,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1925.json,0.00031079381005838513,0.0003122214859467931
MLP,mlp,0.005,15000,Tanh(),2,1,1926,mlp_n_2_b_1_seed_1926,7.021540659479797e-05,1.376221776008606,9,15.182394742965698,experimentos_pinn/modelos_salvos/modelo_mlp_n_2_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_2_b_1_seed_1926.json,9.793420758796856e-05,9.800813844776713e-05
