model_type,run_id_prefix,lr,epochs,activation,entangler,n_qubits,n_layers,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
QNN,qnn_basic,0.002,15000,,basic,2,1,1924,qnn_basic_n_qubits_2_n_l_1_seed_1924,0.0001744758337736,3.419726610183716,11,811.6929657459259,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_1_seed_1924.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_1_seed_1924.json,0.0002329252747585,0.0002338268783933
QNN,qnn_basic,0.002,15000,,basic,2,1,1925,qnn_basic_n_qubits_2_n_l_1_seed_1925,0.000179855938768,3.525177001953125,11,833.2512483596802,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_1_seed_1925.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_1_seed_1925.json,0.0002398961805738,0.0002401017633383
QNN,qnn_basic,0.002,15000,,basic,2,1,1926,qnn_basic_n_qubits_2_n_l_1_seed_1926,0.0001587154547451,3.110822916030884,11,810.9355962276459,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_1_seed_1926.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_1_seed_1926.json,0.0002132998633896,0.0002139351872028
QNN,qnn_basic,0.002,15000,,basic,2,2,1924,qnn_basic_n_qubits_2_n_l_2_seed_1924,0.0001811022520996,3.5496039390563965,13,1069.3454883098602,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_2_seed_1924.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_2_seed_1924.json,0.0002404510742053,0.0002404713818395
QNN,qnn_basic,0.002,15000,,basic,2,2,1925,qnn_basic_n_qubits_2_n_l_2_seed_1925,0.0001825382787501,3.5777506828308105,13,1061.6953225135803,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_2_seed_1925.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_2_seed_1925.json,0.0002415481139905,0.0002415184387064
QNN,qnn_basic,0.002,15000,,basic,2,2,1926,qnn_basic_n_qubits_2_n_l_2_seed_1926,0.0001759014849085,3.447669506072998,13,1076.2460341453552,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_2_seed_1926.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_2_seed_1926.json,0.0002349355345359,0.000235530816426
QNN,qnn_basic,0.002,15000,,basic,2,3,1924,qnn_basic_n_qubits_2_n_l_3_seed_1924,0.0001723038585623,3.3771562576293945,15,1162.9855120182035,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_3_seed_1924.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_3_seed_1924.json,0.0002303128858329,0.0002311895969614
QNN,qnn_basic,0.002,15000,,basic,2,3,1925,qnn_basic_n_qubits_2_n_l_3_seed_1925,0.0001678388071013,3.2896406650543213,15,1186.54620885849,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_3_seed_1925.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_3_seed_1925.json,0.000224216011702,0.0002249395343824
QNN,qnn_basic,0.002,15000,,basic,2,3,1926,qnn_basic_n_qubits_2_n_l_3_seed_1926,0.0001775093696778,3.4791831970214844,15,1195.6529376506803,modelos_salvos/modelo_qnn_basic_n_qubits_2_n_l_3_seed_1926.pth,historicos_loss/loss_qnn_basic_n_qubits_2_n_l_3_seed_1926.json,0.000236550840782,0.00023665357352
QNN,qnn_basic,0.002,15000,,basic,3,1,1924,qnn_basic_n_qubits_3_n_l_1_seed_1924,0.0001544934493722,3.028071880340576,16,1378.79269862175,modelos_salvos/modelo_qnn_basic_n_qubits_3_n_l_1_seed_1924.pth,historicos_loss/loss_qnn_basic_n_qubits_3_n_l_1_seed_1924.json,0.0002072170464089,0.0002080316588399
QNN,qnn_basic,0.002,15000,,basic,3,1,1925,qnn_basic_n_qubits_3_n_l_1_seed_1925,0.0001604327990207,3.1444828510284424,16,1360.433224439621,modelos_salvos/modelo_qnn_basic_n_qubits_3_n_l_1_seed_1925.pth,historicos_loss/loss_qnn_basic_n_qubits_3_n_l_1_seed_1925.json,0.0002146694023394,0.0002155082239187
QNN,qnn_basic,0.002,15000,,basic,3,1,1926,qnn_basic_n_qubits_3_n_l_1_seed_1926,0.0001566714490763,3.0707602500915527,16,1390.7139518260956,modelos_salvos/modelo_qnn_basic_n_qubits_3_n_l_1_seed_1926.pth,historicos_loss/loss_qnn_basic_n_qubits_3_n_l_1_seed_1926.json,0.0002094926021527,0.0002108673365728
QNN,qnn_basic,0.002,15000,,basic,3,2,1924,qnn_basic_n_qubits_3_n_l_2_seed_1924,0.0001788765221135,3.5059800148010254,19,1594.1858432292938,modelos_salvos/modelo_qnn_basic_n_qubits_3_n_l_2_seed_1924.pth,historicos_loss/loss_qnn_basic_n_qubits_3_n_l_2_seed_1924.json,0.000233514845604,0.0002341899006569
QNN,qnn_basic,0.002,15000,,basic,3,2,1925,qnn_basic_n_qubits_3_n_l_2_seed_1925,0.0001792703842511,3.513700246810913,19,1578.6598207950592,modelos_salvos/modelo_qnn_basic_n_qubits_3_n_l_2_seed_1925.pth,historicos_loss/loss_qnn_basic_n_qubits_3_n_l_2_seed_1925.json,0.0002376422926317,0.0002376995322993
QNN,qnn_basic,0.002,15000,,basic,3,2,1926,qnn_basic_n_qubits_3_n_l_2_seed_1926,0.0001167163718491,2.2876410484313965,19,1578.7497787475586,modelos_salvos/modelo_qnn_basic_n_qubits_3_n_l_2_seed_1926.pth,historicos_loss/loss_qnn_basic_n_qubits_3_n_l_2_seed_1926.json,0.000160128751304,0.0001616836363973
